Fund ID,Fund,Department ID,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
3,Economic Development,,Miscellaneous,Miscellaneous,,,,0,0,0,0,0,0,0,0,8366582,6271582,5788581,0,0,0,0,0,0,0,0,0,0,0
4,Sustainable Communities,,Miscellaneous,Miscellaneous,,,,0,0,0,0,0,0,0,0,3963118,4621165,0,0,0,0,0,0,0,0,0,0,0,0
5,Children and Families ,,Miscellaneous,Miscellaneous,,,,0,0,0,0,0,0,0,0,3302598,9242441,11191266,0,0,0,0,0,0,0,0,0,0,0
6,Personal Services ,,General Services,OIG,,"The mission of the Office of Inspector General is to conduct independent audits, investigations and inspections to detect and prevent fraud, waste and mismanagement. The office is designed to help the City of New Orleans improve its programs and operations by promoting economy, efficiency and effectiveness.",,0,0,0,250000,3430000,3600670,3090668,3635514,6279713,4733336,4217021,0,0,0,56593,1680518,2811940,2731230,3447258,3733169,0,0
1,Open and Effective Government,,Office of Community Development,Community Development,,"The Office of Community Development will assist in the eradication of blight as well as the improvement of road and facilities infrastructure. OCD will be proactive in the reduction of homelessness as well as providing suitable housing for residents. OCD is also committed to increasing the job and cultural opportunities for the City‘s youth. 
",,0,0,0,0,0,0,0,67539841,71177919,48722157,53955535,13348239,9323819,5377429,19755382,33872205,31790825,27768249,19196473,22831898,0,0
2,Public Safety ,,Orleans Parish District Attorney's Office,District Attorney,,"The Orleans Parish District Attorney‘s Office is responsible for providing fair, effective and efficient prosecution of offenders of the law. The District Attorney is an elected official and therefore is not directly accountable to the Mayor. However, the District Attorney does receive City funding to operate the Office. 
",,3957268,3431916,3122011,5147338,4895459,5766132,5589519,6166265,6666265,6271671,6271671,3399517,2589010,2415131,3096130,3616131,5916841,5889509,6166265,6412946,0,0
2,Public Safety ,,New Orleans Coroner's Office,Coroner,,"The mission of the New Orleans Coroner's Office is to determine cause of death using investigation and expert autopsies performed by board certified forensic 
pathologists. Also, to continue to provide mental health evaluations performed by psychiatrists.",,1679838,2047721,1229320,1617375,2136870,1611763,1434444,1478597,1669099,1669099,1781605,1905826,1614332,1286825,1730853,1876362,1953075,1660032,1887234,1758594,0,0
2,Public Safety ,,Orleans Parish Juvenile Court,Juvenile Court,,"The mission of Orleans Parish Juvenile Court is to provide a court of excellence for children, youth, and families by enforcing the Louisiana Children’s Code. 
",,2275395,2411042,1388320,1497838,3136121,3601035,3114851,3961913,3743800,3615283,3025203,2323713,1900118,1314577,1699725,2919119,3622808,3646989,3826663,3594456,0,0
2,Public Safety ,,Orleans Parish First City Court,First City Court,,,,0,6000,6000,6000,6000,6000,5400,6000,6000,6000,6000,0,0,0,0,0,0,0,0,0,0,0
2,Public Safety ,,Orleans Parish Civil District Court,Civil District Court,,,,0,14400,14000,21525,21525,14400,12960,14400,14400,14400,14400,0,0,0,0,0,7124,0,0,0,0,0
